retriever,Model,agreement_id,question,gold_answer,pred_answer,confidence,time
tfidf,nlpaueb_legalbert,Agreement_1,"If the Landlord delays in enforcement of
covenants/obligations; how will that impact the guarantor?","Guarantors are obliged to cover the tenant’s full obligation
regardless of any delay from landlord.
3",case of dispute. Any dispute regarding deductions from the Deposit,0.00013861549086868763,0.08170819282531738
tfidf,atharvamundada_bertlarge_legal,Agreement_1,"If the Landlord delays in enforcement of
covenants/obligations; how will that impact the guarantor?","Guarantors are obliged to cover the tenant’s full obligation
regardless of any delay from landlord.
3",not be reduced or released,0.1324816346168518,0.30603981018066406
bm25,jasu_legalbert,Agreement_1,Who is the landlord?,Kelaty House Propco 2 Limited.,letting agent,0.580104649066925,0.0884408950805664
bm25,nlpaueb_legalbert,Agreement_1,Who is the landlord?,Kelaty House Propco 2 Limited.,Are you are entitled to Housing Benefit,0.00015198935579974204,0.09636425971984863
bm25,atharvamundada_bertlarge_legal,Agreement_1,Who is the landlord?,Kelaty House Propco 2 Limited.,landlords offer tenancies for a fixed term of 6 or 12 months,0.06600405275821686,0.31078076362609863
bm25,jasu_legalbert,Agreement_1,Who is the managing agent?,Fresh property Group but their brand name is Fresh.,landlord,0.06383773684501648,0.09046626091003418
bm25,nlpaueb_legalbert,Agreement_1,Who is the managing agent?,Fresh property Group but their brand name is Fresh.,Are you are entitled to Housing Benefit,0.00014234161062631756,0.10101127624511719
bm25,atharvamundada_bertlarge_legal,Agreement_1,Who is the managing agent?,Fresh property Group but their brand name is Fresh.,Your local council,0.063001848757267,0.32761645317077637
bm25,jasu_legalbert,Agreement_1,How long is the tenancy period?,51 weeks; from 14/9/2024 to 05/09/2025.,6 months,0.0926099419593811,0.09202790260314941
bm25,nlpaueb_legalbert,Agreement_1,How long is the tenancy period?,51 weeks; from 14/9/2024 to 05/09/2025.,Are you are entitled to Housing Benefit,0.00014004413969814777,0.0984036922454834
bm25,atharvamundada_bertlarge_legal,Agreement_1,How long is the tenancy period?,51 weeks; from 14/9/2024 to 05/09/2025.,6 or 12 months,0.3713376820087433,0.3190615177154541
bm25,jasu_legalbert,Agreement_1,How many installments are there and are they equal?,There are 4 installments for different amounts.,more than one weeks rent,0.12499672919511795,0.08964228630065918
bm25,nlpaueb_legalbert,Agreement_1,How many installments are there and are they equal?,There are 4 installments for different amounts.,rolls over on a weekly or monthly basis. These tenancies,0.00012758556113112718,0.10240316390991211
bm25,atharvamundada_bertlarge_legal,Agreement_1,How many installments are there and are they equal?,There are 4 installments for different amounts.,35%,0.040042370557785034,0.32336950302124023
bm25,jasu_legalbert,Agreement_1,Is there a deposit needed and if so what is the amount?,"Yes, a deposit is needed and its 150 British Pounds.",you may get help with all or part of your rent,0.22557573020458221,0.09488439559936523
bm25,nlpaueb_legalbert,Agreement_1,Is there a deposit needed and if so what is the amount?,"Yes, a deposit is needed and its 150 British Pounds.",rolls over on a weekly or monthly basis. These tenancies,0.00011898702359758317,0.09909534454345703
bm25,atharvamundada_bertlarge_legal,Agreement_1,Is there a deposit needed and if so what is the amount?,"Yes, a deposit is needed and its 150 British Pounds.",you may get help with all or part of your rent,0.4787510931491852,0.34695863723754883
bm25,jasu_legalbert,Agreement_1,Who will be holding the tenant’s deposit?,TDS Custodial.,TDS,0.8314180374145508,0.07374906539916992
bm25,nlpaueb_legalbert,Agreement_1,Who will be holding the tenant’s deposit?,TDS Custodial.,Are you are entitled to Housing Benefit,0.0001309883373323828,0.08678483963012695
bm25,atharvamundada_bertlarge_legal,Agreement_1,Who will be holding the tenant’s deposit?,TDS Custodial.,TDS,0.28113189339637756,0.3031444549560547
bm25,jasu_legalbert,Agreement_1,Is the deposit safeguarded by any scheme?,"Yes, the deposit is safeguarded by Tenancy Deposit
Scheme, which is administered by: West Wing, First Floor, The
Maylands Building, 200 Maylands Avenue, Hemel Hempstead, HP2
7TG.",Tenancy Deposit Scheme,0.3075754940509796,0.06781172752380371
bm25,nlpaueb_legalbert,Agreement_1,Is the deposit safeguarded by any scheme?,"Yes, the deposit is safeguarded by Tenancy Deposit
Scheme, which is administered by: West Wing, First Floor, The
Maylands Building, 200 Maylands Avenue, Hemel Hempstead, HP2
7TG.",HP2 7TG Telephone 0300 037 1001 Email deposits,0.0001847432868089527,0.07992410659790039
bm25,atharvamundada_bertlarge_legal,Agreement_1,Is the deposit safeguarded by any scheme?,"Yes, the deposit is safeguarded by Tenancy Deposit
Scheme, which is administered by: West Wing, First Floor, The
Maylands Building, 200 Maylands Avenue, Hemel Hempstead, HP2
7TG.",it must be protected during the tenancy,0.5003262758255005,0.30298829078674316
bm25,jasu_legalbert,Agreement_1,"Is rent the only financial obligation the tenant is subject
to?","No, the tenant can also be liable for:
(a)costs the landlord incurs to rectify tenancy breaches;
(b) late payment fees
(c) cleaning or replacement costs
(d)obtaining TV license fee.
1",the rent being paid and the property remaining in good condition,0.04145507141947746,0.07575345039367676
bm25,nlpaueb_legalbert,Agreement_1,"Is rent the only financial obligation the tenant is subject
to?","No, the tenant can also be liable for:
(a)costs the landlord incurs to rectify tenancy breaches;
(b) late payment fees
(c) cleaning or replacement costs
(d)obtaining TV license fee.
1",rolls over on a weekly or monthly basis. These tenancies,0.00011991259816568345,0.08396148681640625
bm25,atharvamundada_bertlarge_legal,Agreement_1,"Is rent the only financial obligation the tenant is subject
to?","No, the tenant can also be liable for:
(a)costs the landlord incurs to rectify tenancy breaches;
(b) late payment fees
(c) cleaning or replacement costs
(d)obtaining TV license fee.
1",you may get help with all or part of your rent,0.06178068742156029,0.28966283798217773
bm25,jasu_legalbert,Agreement_1,Is there a deadline for tenants moving in?,"Tenant are expected to move in within 4 weeks of the
start of the Tenancy Period.",Will you need a rent guarantee,0.013319790363311768,0.08739709854125977
bm25,nlpaueb_legalbert,Agreement_1,Is there a deadline for tenants moving in?,"Tenant are expected to move in within 4 weeks of the
start of the Tenancy Period.",rolls over on a weekly or monthly basis. These tenancies,0.00013377121649682522,0.09742951393127441
bm25,atharvamundada_bertlarge_legal,Agreement_1,Is there a deadline for tenants moving in?,"Tenant are expected to move in within 4 weeks of the
start of the Tenancy Period.",a minimum of 6 months,0.04492847993969917,0.3276667594909668
bm25,jasu_legalbert,Agreement_1,"On what standard does the landlord want the room to
be kept in?","In good repair and condition, unless I inform the
Landlord/Agent to the contrary in writing within 48 hours of moving-
in.",accreditation scheme,0.482340931892395,0.09059929847717285
bm25,nlpaueb_legalbert,Agreement_1,"On what standard does the landlord want the room to
be kept in?","In good repair and condition, unless I inform the
Landlord/Agent to the contrary in writing within 48 hours of moving-
in.",rolls over on a weekly or monthly basis. These tenancies,0.00011450106103438884,0.10131382942199707
bm25,atharvamundada_bertlarge_legal,Agreement_1,"On what standard does the landlord want the room to
be kept in?","In good repair and condition, unless I inform the
Landlord/Agent to the contrary in writing within 48 hours of moving-
in.",a minimum of 6 months,0.29099032282829285,0.35417842864990234
bm25,jasu_legalbert,Agreement_1,Should tenant personally do the repairs?,"No, they should report it to the agent as soon as possible.",Report any need for repairs to your landlord,0.08037455379962921,0.10938620567321777
bm25,nlpaueb_legalbert,Agreement_1,Should tenant personally do the repairs?,"No, they should report it to the agent as soon as possible.",Are you are entitled to Housing Benefit,0.00013627235603053123,0.11992669105529785
bm25,atharvamundada_bertlarge_legal,Agreement_1,Should tenant personally do the repairs?,"No, they should report it to the agent as soon as possible.",you may get help with all or part of your rent,0.3224755823612213,0.39650750160217285
bm25,jasu_legalbert,Agreement_1,Who is responsible for the council tax?,"Tenant should make themselves aware of the local
authority’s criteria to qualify for council tax exemption as a full-time
student and they will inform the agent if they do not qualify for the
exemption.",HM Revenue and Customs,0.21875393390655518,0.07497382164001465
bm25,nlpaueb_legalbert,Agreement_1,Who is responsible for the council tax?,"Tenant should make themselves aware of the local
authority’s criteria to qualify for council tax exemption as a full-time
student and they will inform the agent if they do not qualify for the
exemption.",serve them notices in,8.234074630308896e-05,0.08671331405639648
bm25,atharvamundada_bertlarge_legal,Agreement_1,Who is responsible for the council tax?,"Tenant should make themselves aware of the local
authority’s criteria to qualify for council tax exemption as a full-time
student and they will inform the agent if they do not qualify for the
exemption.",HM Revenue and Customs,0.46850278973579407,0.28736209869384766
bm25,jasu_legalbert,Agreement_1,Is the tenant de facto entitled to a parking space?,"No, unless tenant has paid for a car park space via a
separate agreement, they will not park at the Building.",Are you are entitled to Housing Benefit,0.0046790833584964275,0.07385563850402832
bm25,nlpaueb_legalbert,Agreement_1,Is the tenant de facto entitled to a parking space?,"No, unless tenant has paid for a car park space via a
separate agreement, they will not park at the Building.",rolls over on a weekly or monthly basis. These tenancies,0.00012795141083188355,0.08315896987915039
bm25,atharvamundada_bertlarge_legal,Agreement_1,Is the tenant de facto entitled to a parking space?,"No, unless tenant has paid for a car park space via a
separate agreement, they will not park at the Building.",Housing Benefit or Universal Credit,0.3483676016330719,0.3640909194946289
bm25,jasu_legalbert,Agreement_1,"When can landlord repossess property and terminate
the lease agreement?","a. (a) The Rent, or any part of it remains unpaid for 14
days after falling due, whether formally demanded or not;
(b) If any agreement or obligation of the Tenant is not complied with;
(c) If any of the grounds set out in Schedule 2 of the Housing Act 1988
(as amended) are made out.
The Landlord can only reenter property if they satisfied their statutory
obligations and tenancy shall end.
2
a. Tenancy can also be terminated early if tenant is given at least
2 months prior written notice if:
(a) The Room or Shared Area is destroyed or made
uninhabitable or inaccessible by fire or other event, and
reinstatement has not occurred within 2 months;
(b) tenant ceases to be a student in higher education;
(c) tenant is listed on the Office of Financial Sanctions
Implementation (OFSI) Sanctions List (or equivalent), or to be
subject to United Kingdom, United States, United Nations or
European Union financial or trade sanctions.",2 months prior written notice,0.3427567780017853,0.09917187690734863
bm25,nlpaueb_legalbert,Agreement_1,"When can landlord repossess property and terminate
the lease agreement?","a. (a) The Rent, or any part of it remains unpaid for 14
days after falling due, whether formally demanded or not;
(b) If any agreement or obligation of the Tenant is not complied with;
(c) If any of the grounds set out in Schedule 2 of the Housing Act 1988
(as amended) are made out.
The Landlord can only reenter property if they satisfied their statutory
obligations and tenancy shall end.
2
a. Tenancy can also be terminated early if tenant is given at least
2 months prior written notice if:
(a) The Room or Shared Area is destroyed or made
uninhabitable or inaccessible by fire or other event, and
reinstatement has not occurred within 2 months;
(b) tenant ceases to be a student in higher education;
(c) tenant is listed on the Office of Financial Sanctions
Implementation (OFSI) Sanctions List (or equivalent), or to be
subject to United Kingdom, United States, United Nations or
European Union financial or trade sanctions.",belong to an accreditation scheme. Accreditation schemes provide training and support to landlords,0.00011447296856204048,0.10771059989929199
bm25,atharvamundada_bertlarge_legal,Agreement_1,"When can landlord repossess property and terminate
the lease agreement?","a. (a) The Rent, or any part of it remains unpaid for 14
days after falling due, whether formally demanded or not;
(b) If any agreement or obligation of the Tenant is not complied with;
(c) If any of the grounds set out in Schedule 2 of the Housing Act 1988
(as amended) are made out.
The Landlord can only reenter property if they satisfied their statutory
obligations and tenancy shall end.
2
a. Tenancy can also be terminated early if tenant is given at least
2 months prior written notice if:
(a) The Room or Shared Area is destroyed or made
uninhabitable or inaccessible by fire or other event, and
reinstatement has not occurred within 2 months;
(b) tenant ceases to be a student in higher education;
(c) tenant is listed on the Office of Financial Sanctions
Implementation (OFSI) Sanctions List (or equivalent), or to be
subject to United Kingdom, United States, United Nations or
European Union financial or trade sanctions.",If at any time,0.04893430694937706,0.36130261421203613
bm25,jasu_legalbert,Agreement_1,"If the Landlord delays in enforcement of
covenants/obligations; how will that impact the guarantor?","Guarantors are obliged to cover the tenant’s full obligation
regardless of any delay from landlord.
3",not be reduced or released by any delay or concession,0.07275087386369705,0.08906817436218262
bm25,nlpaueb_legalbert,Agreement_1,"If the Landlord delays in enforcement of
covenants/obligations; how will that impact the guarantor?","Guarantors are obliged to cover the tenant’s full obligation
regardless of any delay from landlord.
3",belong to an accreditation scheme. Accreditation schemes provide training and support to landlords,0.0001068206547643058,0.10395407676696777
bm25,atharvamundada_bertlarge_legal,Agreement_1,"If the Landlord delays in enforcement of
covenants/obligations; how will that impact the guarantor?","Guarantors are obliged to cover the tenant’s full obligation
regardless of any delay from landlord.
3",I will reimburse the Landlord,0.19330640137195587,0.3578011989593506
whoosh,jasu_legalbert,Agreement_1,Who is the landlord?,Kelaty House Propco 2 Limited.,private landlord,0.14204731583595276,0.09131312370300293
whoosh,nlpaueb_legalbert,Agreement_1,Who is the landlord?,Kelaty House Propco 2 Limited.,belong to an accreditation scheme. Accreditation schemes provide training and support to landlords,0.00013070061686448753,0.10329699516296387
whoosh,atharvamundada_bertlarge_legal,Agreement_1,Who is the landlord?,Kelaty House Propco 2 Limited.,the owner or leaseholder of the flat,0.362692266702652,0.3443639278411865
whoosh,jasu_legalbert,Agreement_1,Who is the managing agent?,Fresh property Group but their brand name is Fresh.,Universal Credit,0.029677441343665123,0.04073929786682129
whoosh,nlpaueb_legalbert,Agreement_1,Who is the managing agent?,Fresh property Group but their brand name is Fresh.,belong to an accreditation scheme. Accreditation schemes provide training and support to landlords,0.00011961779819102958,0.03781723976135254
whoosh,atharvamundada_bertlarge_legal,Agreement_1,Who is the managing agent?,Fresh property Group but their brand name is Fresh.,Your local council,0.063001848757267,0.12903380393981934
whoosh,jasu_legalbert,Agreement_1,How long is the tenancy period?,51 weeks; from 14/9/2024 to 05/09/2025.,,-1.0,2.384185791015625e-06
whoosh,nlpaueb_legalbert,Agreement_1,How long is the tenancy period?,51 weeks; from 14/9/2024 to 05/09/2025.,,-1.0,2.384185791015625e-07
whoosh,atharvamundada_bertlarge_legal,Agreement_1,How long is the tenancy period?,51 weeks; from 14/9/2024 to 05/09/2025.,,-1.0,0.0
whoosh,jasu_legalbert,Agreement_1,How many installments are there and are they equal?,There are 4 installments for different amounts.,,-1.0,1.430511474609375e-06
whoosh,nlpaueb_legalbert,Agreement_1,How many installments are there and are they equal?,There are 4 installments for different amounts.,,-1.0,2.384185791015625e-07
whoosh,atharvamundada_bertlarge_legal,Agreement_1,How many installments are there and are they equal?,There are 4 installments for different amounts.,,-1.0,2.384185791015625e-07
whoosh,jasu_legalbert,Agreement_1,Is there a deposit needed and if so what is the amount?,"Yes, a deposit is needed and its 150 British Pounds.",,-1.0,9.5367431640625e-07
whoosh,nlpaueb_legalbert,Agreement_1,Is there a deposit needed and if so what is the amount?,"Yes, a deposit is needed and its 150 British Pounds.",,-1.0,2.384185791015625e-07
whoosh,atharvamundada_bertlarge_legal,Agreement_1,Is there a deposit needed and if so what is the amount?,"Yes, a deposit is needed and its 150 British Pounds.",,-1.0,0.0
whoosh,jasu_legalbert,Agreement_1,Who will be holding the tenant’s deposit?,TDS Custodial.,,-1.0,7.152557373046875e-07
whoosh,nlpaueb_legalbert,Agreement_1,Who will be holding the tenant’s deposit?,TDS Custodial.,,-1.0,2.384185791015625e-07
whoosh,atharvamundada_bertlarge_legal,Agreement_1,Who will be holding the tenant’s deposit?,TDS Custodial.,,-1.0,0.0
whoosh,jasu_legalbert,Agreement_1,Is the deposit safeguarded by any scheme?,"Yes, the deposit is safeguarded by Tenancy Deposit
Scheme, which is administered by: West Wing, First Floor, The
Maylands Building, 200 Maylands Avenue, Hemel Hempstead, HP2
7TG.",,-1.0,7.152557373046875e-07
whoosh,nlpaueb_legalbert,Agreement_1,Is the deposit safeguarded by any scheme?,"Yes, the deposit is safeguarded by Tenancy Deposit
Scheme, which is administered by: West Wing, First Floor, The
Maylands Building, 200 Maylands Avenue, Hemel Hempstead, HP2
7TG.",,-1.0,0.0
whoosh,atharvamundada_bertlarge_legal,Agreement_1,Is the deposit safeguarded by any scheme?,"Yes, the deposit is safeguarded by Tenancy Deposit
Scheme, which is administered by: West Wing, First Floor, The
Maylands Building, 200 Maylands Avenue, Hemel Hempstead, HP2
7TG.",,-1.0,0.0
whoosh,jasu_legalbert,Agreement_1,"Is rent the only financial obligation the tenant is subject
to?","No, the tenant can also be liable for:
(a)costs the landlord incurs to rectify tenancy breaches;
(b) late payment fees
(c) cleaning or replacement costs
(d)obtaining TV license fee.
1",,-1.0,7.152557373046875e-07
whoosh,nlpaueb_legalbert,Agreement_1,"Is rent the only financial obligation the tenant is subject
to?","No, the tenant can also be liable for:
(a)costs the landlord incurs to rectify tenancy breaches;
(b) late payment fees
(c) cleaning or replacement costs
(d)obtaining TV license fee.
1",,-1.0,0.0
whoosh,atharvamundada_bertlarge_legal,Agreement_1,"Is rent the only financial obligation the tenant is subject
to?","No, the tenant can also be liable for:
(a)costs the landlord incurs to rectify tenancy breaches;
(b) late payment fees
(c) cleaning or replacement costs
(d)obtaining TV license fee.
1",,-1.0,2.384185791015625e-07
